"","x01","y01","x02","y02","x03","y03","x04","y04","x05","y05","x06","y06","x07","y07","x08","y08","x09","y09","x10","y10","x11","y11","x12","y12","x13","y13","x14","y14","x15","y15","x16","y16","x17","y17","x18","y18","x19","y19","x20","y20","x21","y21","x22","y22","C_size","Species","Sex"
"ORTALB001",0.314748251894517,0.0705268071405775,0.0413449594517727,0.0605767980129901,-0.226991936179816,0.0752988654012572,-0.281285218760274,0.0623105957734981,-0.324941919176068,0.0249890581387269,-0.328786680184895,0.0158877131727028,-0.268104703579751,-0.0295949524316411,-0.257445527478646,-0.0335634256520836,-0.0834462207916721,-0.0926066632369094,-0.0683625992939875,-0.10005333278851,0.055952353237374,-0.133279047747193,0.175495921488333,-0.147327758757335,0.337225466699902,0.0374313970120266,0.189477531733675,0.0113888236851922,0.246513628798668,0.0194601972718807,0.238456206371488,-0.00341158986713283,0.0427550657665359,0.0385323631259624,0.0343596493055932,0.0313550735146722,0.00416549169296258,0.0258823594919818,-0.00291733437991673,0.0154681436886667,0.042851277624897,0.019722330212326,0.11893633575931,0.0310062448383443,640.472836696026,"albistylum","Male"
"ORTALB002",0.330185662315547,0.0624022937975278,0.051271350672391,0.0680133172710899,-0.215730406481272,0.0669273047726208,-0.276767436520231,0.0389175641803073,-0.327720346250883,0.0152127285558612,-0.331973783406059,0.00439016546491703,-0.280630121116368,-0.0345614010619891,-0.259715859750274,-0.0448721598890846,-0.0910688360309989,-0.0821108234170157,-0.0791587161229443,-0.0888805966686835,0.0336636761853513,-0.114542038172225,0.138873788528117,-0.133004873823571,0.349801619875865,0.0276040571306352,0.190528111128716,0.0090875420633896,0.249145525661327,0.0151666751527751,0.239590853615523,-0.0143776045186519,0.053902315784261,0.0482360161423728,0.0424389246812602,0.0402575497833669,0.0108276430385931,0.0339620336155743,0.00225108557168361,0.0227577357076631,0.0551128717843308,0.0248581485540763,0.115172076836062,0.0345563653590444,517.315140456429,"albistylum","Female"
"ORTALB003",0.319920030800185,0.0485390077726822,0.0402201898306093,0.0336892740969191,-0.25156443678358,0.0446496589807618,-0.309019687738454,0.0389723753086079,-0.346668009529837,0.0190672469847626,-0.345318097362019,0.0126281504429389,-0.265518340504643,-0.00885867972360541,-0.247132779680174,-0.016616154396308,-0.0641236156466493,-0.0427451344867869,-0.0553029084454834,-0.052547820716795,0.0784463678919764,-0.090740474438685,0.198126297992434,-0.110152190639277,0.339793981941733,0.0259433803963946,0.192823295186031,0.00110970672106839,0.251448370755018,0.00866271448034899,0.243440906264097,-0.0164740964912659,0.0336613754912294,0.0254915715885826,0.0192995225388191,0.0223705836298061,0.00835941144076957,0.0183434065133167,0.00205550786054249,0.00861054911242781,0.0457171387002721,0.00798477473237302,0.111335478997122,0.022072150131733,615.094597307084,"albistylum","Male"
"ORTALB004",0.3331532485392,0.0586207184530841,0.0559308420943907,0.0436570226083874,-0.212017414442771,0.0420863089059294,-0.278412361792006,0.0335210919791734,-0.332799499077952,0.0119499035999091,-0.336971447517691,0.00089747114966811,-0.286743584330689,-0.0224314679447863,-0.26330922583932,-0.0271282575394807,-0.111621508751755,-0.0551698428229492,-0.0939507449848481,-0.0639668675389076,0.03088141707831,-0.0902182742464065,0.149944855437582,-0.103705240935072,0.349662599530477,0.0354524928732783,0.202137998056736,0.00719362498932832,0.258620128003286,0.0173434214975273,0.247716945538259,-0.00588896956207506,0.0558976751869802,0.0268199996154479,0.0446187699574594,0.024752022938925,0.00896497064464875,0.0193271676115017,0.00039713631256506,0.00783364710263106,0.0521936198487956,0.0113613325733665,0.125705580508341,0.0276926946915199,511.084853300044,"albistylum","Female"
"ORTALB005",0.312495899486194,0.0701240857500262,0.0565620485221293,0.0613719324326266,-0.21790983515454,0.0748589435859303,-0.280882900708084,0.0619000016474908,-0.329331704992929,0.0229746325170806,-0.333714941188654,0.0114540243823266,-0.279117395231881,-0.0357027018556772,-0.265730250123481,-0.0421178118000142,-0.0884610549611306,-0.0944309069150158,-0.080832061552882,-0.0986551178219766,0.0387656993711226,-0.130991653414267,0.155520130828114,-0.137850789976319,0.330656390465101,0.038145655459996,0.187278595042733,0.0149170005301363,0.244158033771101,0.0222766056734035,0.233357919238142,-0.00262616067123853,0.0576118728243775,0.0398722018147934,0.0475501104110351,0.0324926152839295,0.0219111801673854,0.0257669470316643,0.00973961851594848,0.0145738273098133,0.0586595897824931,0.0183710772574566,0.121713055487708,0.0332755917778346,513.672605318354,"albistylum","Female"
"ORTALB006",0.308483674765042,0.0632417396269212,0.0506866264852109,0.0549249934309634,-0.220850506597526,0.0774632064715402,-0.282325217125258,0.0669427690689944,-0.334623246154654,0.0260524850437164,-0.337287187221373,0.015500013813542,-0.267157957174605,-0.0383429388810331,-0.256603480810355,-0.0410100486898958,-0.0904361004575518,-0.0941855188469788,-0.0831051884882778,-0.0980579434404388,0.0430287628077791,-0.134616844070879,0.179478179564756,-0.13204133928587,0.325625581936055,0.0351131624056045,0.192289149536335,0.0182692536370273,0.24819641336887,0.0200930134991264,0.235540983584902,0.00285712614393779,0.0536588349892549,0.039131610349423,0.0435055188350055,0.0309212678908287,0.0195772524300924,0.0241674748220628,0.00636435793926536,0.016277585961267,0.0515560563525746,0.0192346964208201,0.114397491434458,0.0280642346293188,650.225310600452,"albistylum","Male"
"ORTALB007",0.319629269129431,0.0654737118518761,0.0400636083767625,0.0537469303731788,-0.223340201977104,0.0618229283864749,-0.286771670621579,0.0521093124818133,-0.335943263025344,0.0157630179512903,-0.336918735454506,0.00905356740393569,-0.264137567248554,-0.0248890941557343,-0.258728704254867,-0.0293003150101801,-0.0860261314241442,-0.0713140413529953,-0.0788228915644108,-0.0771929830177546,0.0454789851772044,-0.114176723912257,0.176119067100581,-0.132346111872725,0.337808593841606,0.0326269463437798,0.196239671985093,0.0117216652344508,0.250355618674612,0.0155376531589513,0.241222752387656,-0.00850447597338814,0.0436802057122899,0.0342941986111478,0.0345327428464296,0.0267643989481137,0.0100119740487177,0.0242825986969019,0.00479004534757361,0.010545487388212,0.0487633223595131,0.0166386006551257,0.12199330858304,0.0273427278097813,609.16768851218,"albistylum","Male"
"ORTALB008",0.320108526702932,0.0693612474134027,0.0435225443310454,0.0615322358104653,-0.233818526970838,0.0806844974833054,-0.287414766938071,0.0656667569279289,-0.330215027722544,0.027324234441672,-0.329835061910847,0.013833208192559,-0.264413553741893,-0.0315738677179754,-0.243893029580489,-0.0411181399811344,-0.0805455713018394,-0.0871333427293831,-0.0667692427482319,-0.0968680380529471,0.062551492925182,-0.133713702135227,0.180891941236517,-0.140492448907282,0.331376252201499,0.0291750324017776,0.190090785165367,0.0116732883348411,0.247335774638819,0.0166687484829369,0.234513507312505,-0.00732321748920365,0.0440973598301021,0.041294602817152,0.0375410189512636,0.0343575540819261,-0.00273206584036358,0.0264664324304784,-0.0123736086588492,0.00931886698595018,0.0447662957080456,0.0176854691688146,0.115214956410687,0.0331805820399427,296.560127277605,"albistylum","Male"
"ORTALB009",0.324581591367914,0.078814413610143,0.0351077943442751,0.0661440111927976,-0.22729102260407,0.0791934435219156,-0.281438384035593,0.066299938283048,-0.322092275461742,0.0277181754710734,-0.32360329386093,0.0174939745040473,-0.256076632042312,-0.033845444387914,-0.249684129045633,-0.039609827467513,-0.0843730093703274,-0.0981552750982847,-0.0759661637673932,-0.103816141332686,0.0517702799910182,-0.141956843555162,0.170376648552635,-0.160264088344566,0.34474138745386,0.0412924459296572,0.181878689754254,0.0127452081147207,0.246419572606942,0.020077558736906,0.235613796901859,-0.00684104087226395,0.0403860324001082,0.0420717213175255,0.0286600355132437,0.0333625094763643,0.00650054888672408,0.0302020306398732,-0.00491919516530569,0.0154240127352734,0.0475794592831474,0.0201208751168124,0.111828268297324,0.0335283424082332,494.254305172771,"albistylum","Male"
"ORTALB010",0.310334990730226,0.0751440116338284,0.0325405674280591,0.0640678465509126,-0.223753004823976,0.0885952895038024,-0.282848328803889,0.0762993805490677,-0.31908330145469,0.0329733633401854,-0.318907340292391,0.0237006017508035,-0.26589513127993,-0.0308156793856629,-0.258386530247991,-0.0343843709375139,-0.073509460140459,-0.104779846792641,-0.06594078224567,-0.112040211356179,0.08310289267426,-0.153531613868326,0.212752635419187,-0.150988255979271,0.335164544307586,0.0367257493360008,0.176322769671302,0.0113498989256069,0.244761269183117,0.0164159269206722,0.234123478972995,-0.0078853134340685,0.031145576616079,0.0418065115181869,0.027608659829541,0.0324764575607371,-9.3753965041788e-05,0.0282091800824594,-0.0164881055565908,0.0149138088338567,0.0334381353129606,0.0196147150734909,0.103610218665318,0.0321325501740519,541.383161238625,"albistylum","Male"
