"","x01","y01","x02","y02","x03","y03","x04","y04","x05","y05","x06","y06","x07","y07","x08","y08","x09","y09","x10","y10","x11","y11","x12","y12","x13","y13","x14","y14","x15","y15","x16","y16","x17","y17","x18","y18","x19","y19","x20","y20","C_size","Species","Sex"
"ORTALB001",0.362812623423244,0.0472002751103391,0.000946937452608411,0.0632573225992649,-0.268004169210825,0.0758413435786124,-0.322999337336205,0.0620551558234756,-0.362217084624477,-0.00799045693161405,-0.304800251396076,-0.0363319068584808,-0.215935904734198,-0.0680006983307576,-0.13028679870638,-0.0850190865253238,-0.0240295957633532,-0.102629637669612,0.2378035666304,-0.0672889614539117,0.380641466420225,0.0204000583012311,0.203446213230468,0.00365827598693658,0.220443468721744,0.00397716706343373,0.229343724395928,-0.0520828251446674,0.00178745342720441,0.036141111698555,-0.00654899038296175,0.0274845569305438,-0.0365614940149885,0.0243016964851117,-0.0441827292182235,0.0123899559758095,-0.00205881998914761,0.0148197161334725,0.0803997216750142,0.0278169372275834,600.31087779583,"albistylum","Male"
"ORTALB002",0.358248107972241,0.0502883070870697,0.00833634649703418,0.0615501792988173,-0.248892193677741,0.0797214628574008,-0.314449096393805,0.0673399948291594,-0.371475498817359,-0.0106365628524626,-0.315048676111163,-0.0428114371003782,-0.247058323544472,-0.0709845835570398,-0.136683095737966,-0.0909142419779178,-0.0147289702411302,-0.108774761766622,0.232072053528088,-0.0633085061085679,0.368258150213736,0.0214191709201669,0.20227302504884,0.00397420495012171,0.221575566857915,0.00613431647187852,0.228018512223246,-0.0478965471989028,0.0105721164548226,0.0364563631741154,-0.000902512668139322,0.0266579612115475,-0.02792657432828,0.0243983025865449,-0.0393775153960967,0.0126674195820705,0.00887237358631162,0.0171108121664878,0.0783162045339165,0.0276081454265113,517.914471703582,"albistylum","Female"
"ORTALB003",0.354801304239048,0.050319546377628,0.00117178857521109,0.0585284697037721,-0.271689975899706,0.0724165095557565,-0.328185622538175,0.0603319487474104,-0.375734046453401,-0.000494605749123119,-0.307209773318782,-0.0358886785464708,-0.216973452076486,-0.0624796252830235,-0.123680307034307,-0.0788000814557589,-0.0157556400925838,-0.100018149833015,0.240416595687433,-0.0683101215557644,0.371402089791281,0.022745637029626,0.198743287059185,0.00326026450544162,0.224223550531346,0.00276277345313648,0.230396843491484,-0.052512636537481,0.0059560154170636,0.0333851355920235,8.96570810599564e-05,0.0255885711056142,-0.0318811068148097,0.0198387068536126,-0.0423963646425799,0.0101548466542046,0.00575171682874598,0.0116351012058312,0.080553440168974,0.0275363881765793,597.934569999093,"albistylum","Male"
"ORTALB004",0.359251745608251,0.0510641688389652,0.00501886214969567,0.0581703315152365,-0.252934821141608,0.0745827433818329,-0.317693353678657,0.0600533134229922,-0.364808150275992,-0.00859676913288665,-0.31637149067128,-0.0390637431044633,-0.23516035045377,-0.0663631539044222,-0.142655124079517,-0.0822301127932206,-0.0270235303874016,-0.102061338196352,0.236207689244318,-0.0662736170563283,0.368369541526592,0.0209312177479443,0.206343226261729,0.00733738908410821,0.227225742208185,0.00522047686070199,0.232373180191775,-0.0480374689125751,0.00739739644889744,0.0335906367936714,-0.00020245916326528,0.0266527038613852,-0.0327712430029285,0.02143506470224,-0.0399748123866181,0.0104016941735868,0.00713090450710524,0.0149560554608797,0.0802770470944881,0.0282304072567031,486.28834039076,"albistylum","Female"
"ORTALB005",0.346000827021651,0.049580441935556,0.0109054806434814,0.0626901419277757,-0.266770091452064,0.0782022138742382,-0.327706044503463,0.0657434494976567,-0.376813205014362,-0.00561032356087147,-0.322033145140403,-0.0375749974767462,-0.225511141334444,-0.0742918351494871,-0.133349846960553,-0.0900247555262231,-0.011539685048017,-0.10760968646798,0.235376804218124,-0.0679536036043584,0.363097944291894,0.0236487089816802,0.196170821742989,0.00692303589073766,0.220360044252293,0.00111716959469362,0.223513457882947,-0.0515601819193424,0.0145181698541933,0.0369934469044333,0.00562466210306434,0.0297228571374366,-0.019431984457588,0.0240761091838765,-0.0311124753380292,0.0114578002288729,0.0141742054101217,0.0167596106720091,0.0845252018281638,0.0277103978760416,469.128127487577,"albistylum","Female"
"ORTALB006",0.345327246236313,0.0451094922711694,0.00664268587729582,0.0508219656509599,-0.256906039067862,0.0804299203390824,-0.320772161772044,0.070096853044252,-0.375927629163075,-0.00435644838985132,-0.314479284426715,-0.0414598856187091,-0.232790117278061,-0.0685780493917357,-0.142341101091815,-0.0875505521139155,-0.00337081223085782,-0.105393101340181,0.245562938610326,-0.05505638276156,0.358810836036414,0.0136837190576701,0.208238848211111,0.00948795795954569,0.228951900690954,0.00611721707483491,0.23662904437223,-0.0413756660476711,0.00655162765838003,0.0306391503169824,-0.00384900875853593,0.0222356163658655,-0.0303100294031574,0.0196314035198336,-0.0412392228064948,0.0144972390408969,0.00539605107258,0.0170030043976859,0.0798742272330152,0.0240165466248456,603.459484969786,"albistylum","Male"
"ORTALB007",0.353897024871845,0.0492925311926875,-0.00942817083207736,0.0481370431268802,-0.281540932318075,0.0522963737197271,-0.341638281506336,0.0413080490170714,-0.374941979055256,-0.00147187139024633,-0.303336352096978,-0.0181428220539694,-0.217144019389205,-0.0414249514300925,-0.113977796213322,-0.0570401687217769,-0.00704550206303203,-0.0790738625782912,0.246859574899797,-0.0700247048199013,0.37398624965917,0.0180272667343143,0.202950298076647,-0.00104859434514722,0.226891598391916,0.00198903587625507,0.237607231425148,-0.0539289194667808,-0.00223361468551363,0.024439514454648,-0.0130480064168682,0.0246145225920295,-0.0319314096838009,0.020183671428908,-0.0394957699637892,0.00727782048227908,0.00193363082156263,0.00969556216683866,0.0916362260781684,0.024894504014567,540.447037183108,"albistylum","Male"
"ORTALB008",0.354406900091075,0.0544568699194511,0.00278798679622764,0.0649804471759148,-0.264077080838306,0.0862559043641801,-0.328109085371824,0.0703904656017066,-0.374923842277367,-0.00143506707631216,-0.315743153758937,-0.0444794437605895,-0.214597259990651,-0.0746196993551614,-0.124742315114563,-0.092920391035757,0.000886748945868154,-0.11552692277781,0.240323972896941,-0.0725079759263274,0.362745000078889,0.0149128008099953,0.193525158372131,0.00497382361425648,0.217737385288649,0.000936854711313855,0.229296965684268,-0.0491049421843008,0.00682168812827518,0.0394235126886851,-0.00501474422619673,0.0281271272549913,-0.0340671367626382,0.023017693281152,-0.0319202908131333,0.0160212387467431,0.00977714999010608,0.0173639276271115,0.0748859528811881,0.0297337763207562,273.420372320718,"albistylum","Male"
"ORTALB009",0.370597104053609,0.0562141342873667,-0.0139927972271935,0.0747852210744765,-0.269712090485677,0.0839375217288549,-0.321857164204177,0.0690830768171605,-0.348337521443007,-0.00337025534130639,-0.297611746245492,-0.0405183064213515,-0.207860513377488,-0.0746534731025429,-0.121276129244249,-0.0968421151507576,-0.0173526996071075,-0.121300208778784,0.239705381534401,-0.0838437169816516,0.392057920902186,0.023570245340116,0.190413299022929,0.00529804442210246,0.216401785876228,0.00189034504500298,0.22466208610289,-0.064249265143765,-0.00553210330529295,0.0411546207395157,-0.00885195390631908,0.0314238150029278,-0.0402787470552797,0.0294384879571495,-0.0458000019685923,0.0132260199627522,-0.000256141233306793,0.0194488343739336,0.0648820318109386,0.0353069741688002,413.423148843893,"albistylum","Male"
"ORTALB010",0.358360453397801,0.0612367957339808,-0.020002503310821,0.0661737466290025,-0.285657239077958,0.0859379120381586,-0.335514179578359,0.0741806595419384,-0.360666450525159,0.0157562299010896,-0.278583271162718,-0.0371271407382723,-0.196321231092516,-0.0734030169742027,-0.0925663344483916,-0.0933117208666594,0.0204533502513529,-0.123533530344677,0.253178390711752,-0.0883483910198177,0.380422991462012,0.0207088937670635,0.188964659598534,0.000780522857665511,0.226000603299382,-0.00241126200776622,0.234835225394499,-0.0676462354771371,-0.0157055634657866,0.0394392091113394,-0.0229051489170271,0.0339688123645083,-0.0499270074187586,0.0248023580586816,-0.0605643155950677,0.0107377870662743,-0.00714058801382935,0.0192996336373299,0.0633381584910585,0.0327587367214988,458.824312782137,"albistylum","Male"
